no,romaji,kana,kanji,meaning_mm
9563,shitsugyou,しつぎょう,失業,အလုပ်လက်မဲ့ဖြစ်ခြင်း
9564,zangyou,ざんぎょう,残業,အချိန်ပိုဆင်းခြင်း
9565,seikatsu,せいかつ,生活,နေထိုင်မှုဘဝ
9566,tsūkin,つうきん,通勤,အလုပ်တက်ချိန်အားခွဲပြီးအလုပ်တက်ခြင်း
9567,gakureki,がくれき,学歴,ပညာရေးသမိုင်း ၊ ပညာရေးအတွေ့အကြုံ
9568,kyūryō,きゅうりょう,給料,လခ
9569,mensetsu,めんせつ,面接,လူတွေ့နှုတ်ဖြေမေးမြန်းခြင်း
9570,kyūkei,きゅうけい,休憩,ခေတ္တခဏအနားယူခြင်း
9571,kankō,かんこう,観光,ကမ္ဘာလှည့်ခရီး
9572,kikoku,きこく,帰国,ကိုယ့်နိုင်ငံပြန်ခြင်း
9573,kisei,きせい,帰省,မွေးရပ်ပြန်ခြင်း
9574,kitaku,きたく,帰宅,အိမ်ပြန်ခြင်း
9575,sanka,さんか,参加,ပါဝင်ဆင်နွှဲခြင်း
9576,shusseki,しゅっせき,出席,တက်ရောက်ခြင်း
9577,kesseki,けっせき,欠席,တက်ရောက်ခြင်းပျက်ကွက်မှု
9578,chikoku,ちこく,遅刻,နောက်ကျခြင်း၊ သတ်မှတ်ထားသောအချိန်ကိုမမှီခြင်း
9579,keshō,けしょう,化粧,အလှပြင်မှု၊မိတ်ကပ်လိမ်းခြင်း
9580,keisan,けいさん,計算,ရေတွက်ခြင်း၊ တွက်ချက်ခြင်း၊ ကြိုတင်စဉ်းစားထားခြင်း
9581,keikaku,けいかく,計画,စီမံကိန်း
9582,seikō,せいこう,成功,အောင်မြင်မှု
9583,shippai,しっぱい,失敗,ဆုံးရှုံးမှု
9584,junbi,じゅんび,準備,ပြင်ဆင်ခြင်း
9585,seiri,せいり,整理,သပ်ရပ်အောင်ပြုလုပ်ခြင်း
9586,chiyuumon,ちゅうもん,注文,မှာကြားခြင်း၊ ကဂျီကဂျောင်ပြောဆိုခြင်း
9587,chokin,ちょきん,貯金,ငွေစုခြင်း
9588,tetsuya,てつや,徹夜,ညလုံးပေါက်လုပ်ခြင်း
9589,hikkoshi,ひっこし,引っ越し,အိမ်ပြောင်းခြင်း
9590,shinchō,しんちょう,身長,အရပ်အမောင်း
9591,taijū,たいじゅう,体重,ကိုယ်အလေးချိန်
9592,kega,けが,けが,ဒဏ်ရာ၊အနာတရ
9593,kai,かい,会,အသင်းအဖွဲ့
9594,shumi,しゅみ,趣味,ဝါသနာ
9595,kyōmi,きょうみ,興味,ဝါသနာ
9596,omoide,おもいで,思い出,အောက်မေ့ဖွယ်ရာ၊အမှတ်တရ
9597,jiyoudan,じょうだん,冗談,ပြက်ရယ်ပြုစကား
9598,mokuteki,もくてき,目的,ရည်ရွယ်ချက်
9599,yakusoku,やくそく,約束,ကတိ
9600,oshaberi,おしゃべり,おしゃべり,စကားပြောခြင်းအားကြိုက်နှစ်သက်သူ၊စကားအလွန်များခြင်း
9601,enriyo,えんりょ,遠慮,အားနာခြင်း
9602,gaman,がまん,我慢,သည်းခံခြင်း
9603,meiwaku,めいわく,迷惑,အနှောင့်အယှက်ဖြစ်စေခြင်း
9604,kibou,きぼう,希望,မျှော်လင့်ချက်၊ဆန္ဒ
9605,yume,ゆめ,夢,အိမ်မက်
9606,sansei,さんせい,賛成,ထောက်ခံခြင်း ၊ သဘောတူခြင်း
9607,hantai,はんたい,反対,ဆန့်ကျင်ခြင်း
9608,sōzou,そうぞう,創造,တီထွင်ခြင်း
9609,doriyoku,どりょく,努力,အားထုတ်မှု
9610,taiyou,たいよう,太陽,နေမင်း
9611,chikyū,ちきゅう,地球,ကမ္ဘာမြေကြီး
9612,ondo,おんど,温度,အပူချိန်
9613,shitsudo,しつど,湿度,စိုထိုင်းဆ
9614,shikke,しっけ,湿気,စိုထိုင်းမှု
9615,tsuyu,つゆ,梅雨,မိုးရာသီ
9616,kabi,かび,かび,မှို(မှိုတက်ခြင်း၊မှိုစွဲခြင်း)
9617,danbou,だんぼう,暖房,လေပူပေးစက်
9618,kawa,かわ,皮,သားရေ
9619,kan,かん,館,… တိုက်(အဆောက်အဦး)
9620,gamen,がめん,画面,မျက်နှာပြင်၊ဖန်သားပြင်
9621,bangumi,ばんぐみ,番組,ရုပ်မြင်သံကြားအစီအစဥ်
9622,kiji,きじ,記事,သတင်းဆောင်းပါး
9623,kinjiyo,きんじょ,近所,အိမ်နီးချင်း
9624,keisatsu,けいさつ,警察,ရဲအဖွဲ့
9625,hannin,はんにん,犯人,ရာဇဝတ်ကောင်၊ တရားခံ
9626,kozeni,こぜに,小銭,အကြွေ
9627,gochisō,ごちそう,ごちそう,စားကောင်းသောက်ဖွယ်
9628,sakusha,さくしゃ,作者,စာရေးဆရာ ၊ လက်ရာပြုလုပ်သူ
9629,sakuhin,さくひん,作品,လက်ရာပစ္စည်း
9630,seifuku,せいふく,制服,ကျောင်းဝတ်စုံ၊တူညီဝတ်စုံ
9631,senzai,せんざい,洗剤,ဆေးကြော်လျှော်ဖွတ်ဆေး၊ဆပ်ပြာမှုန့်
9632,soko,そこ,底,အောက်ခြေ
9633,chika,ちか,地下,မြေအောက်
9634,tera,てら,寺,ဘုန်းကြီးကျောင်း
9635,dōro,どうろ,道路,လမ်း၊ ကားလမ်း
9636,saka,さか,坂,ကုန်းတက်၊ကုန်းလျှော၊ဆင်ခြေလျှော
9637,kemuri,けむり,煙,မီးခိုး
9638,hai,はい,灰,ပြာ
9639,han,はん,判,တံဆိပ်တုံး
9640,meishi,めいし,名刺,နာမည်ကတ်ပြား
9641,menkiyo,めんきょ,免許,လိုင်စင်
9642,ōku,おおく,多く,အများအပြား
9643,zenhan,ぜんはん,前半,ပထမပိုင်း
9644,kōhan,こうはん,後半,ဒုတိယပိုင်း
9645,saikō,さいこう,最高,ထိပ်တန်း၊အမြင့်ဆုံး၊ အကောင်းဆုံး
9646,saitei,さいてい,最低,အောက်ဆုံး၊အနိမ့်ဆုံး
9647,saisho,さいしょ,最初,ဦးဆုံး
9648,saigo,さいご,最後,နောက်ဆုံး
9649,jidō,じどう,自動,အလိုအလျောက်
9650,shiyurui,しゅるい,種類,အမျိုးအစား
9651,seikaku,せいかく,性格,အကျင့်စာရိတ္တ
9652,seishitsu,せいしつ,性質,ပင်ကိုယ်စရိုက်၊ဂုဏ်သတ္တိ
9653,junban,じゅんばん,順番,အလှည့်အစီအစဉ်
9654,ban,ばん,番,အစောင့်၊ အလှည့်
9655,hōhō,ほうほう,方法,နည်းလမ်း
9656,seihin,せいひん,製品,ထုတ်ကုန်၊ကုန်ချော
9657,neagari,ねあがり,値上がり,စျေးတက်ခြင်း
9658,nama,なま,生,အစိမ်း
9659,kawaku,かわく,渇く,ရေဆာသည်၊ရေငတ်သည်
9660,kagu,かぐ,嗅ぐ,အနံ့ခံသည်
9661,tataku,たたく,叩く,ထုသည်၊ရိုက်သည်
9662,naguru,なぐる,殴る,ထိုးသည်၊ ထုသည်
9663,keru,ける,ける,ကန်သည်
9664,daku,だく,抱く,ပွေ့ပိုက်သည် ၊ ဆန္ဒကိုပွေ့ပိုက်သည် |
9665,taoreru,たおれる,倒れる,လဲကျသည်၊ပြိုလဲသည်
9666,taosu,たおす,倒す,လှဲချသည်
9667,okiru,おきる,起きる,အိပ်ရာထသည်
9668,okosu,おこす,起こす,နှိုးသည်
9669,tazuneru,たずねる,尋ねる,မေးမြန်းသည်
9670,yobu,よぶ,呼ぶ,ခေါ်သည်
9671,sakebu,さけぶ,叫ぶ,အော်ဟစ်သည်
9672,damaru,だまる,黙る,တိတ်ဆိတ်သည်၊ နှုတ်ဆိတ်သည်
9673,kau,かう,飼う,မွေးမြူသည်
9674,kazoeru,かぞえる,数える,ရေတွက်သည်
9675,kawaku,かわく,乾く,ခြောက်သွေ့သည်
9676,kawakasu,かわかす,乾かす,အခြောက်ခံသည်
9677,tatamu,たたむ,畳む,ခေါက်သည်၊ချိုးသည်
9678,sasō,さそう,誘う,အဖော်စပ်သည်/ဖိတ်ခေါ်သည်
9679,ogoru,おごる,おごる,ကျွေးသည်၊ကျွေးမွေးဧည့်ခံသည်
9680,azukaru,あずかる,預かる,ထိန်းသိမ်းသည်။ တာဝန်လွှဲအပ်ခြင်းခံရသည်။
9681,azukeru,あずける,預ける,အပ်နှံသည်
9682,kimaru,きまる,決まる,ဆုံးဖြတ်သည်
9683,kimeru,きめる,決める,ဆုံးဖြတ်သည်
9684,utsuru,うつる,写る,ထင်ဟတ်သည်
9685,utsusu,うつす,写す,ဓါတ်ပုံရိုက်သည်၊ ထင်ဟပ်စေသည်၊ ကူးယူသည်
9686,omoidasu,おもいだす,思い出す,ပြန်သတိရသည်
9687,osowaru,おそわる,教わる,သင်ယူသည်
9688,mōshikomu,もうしこむ,申し込む,လျှောက်လွှာတင်သည်
9689,kotowaru,ことわる,断る,ငြင်းဆန်သည်၊ခွင့်တောင်းသည်
9690,mitsukaru,みつかる,見つかる,ရှာတွေ့သည်
9691,mitsukeru,みつける,見つける,ရှာတွေ့သည်
9692,tsukamaru,つかまる,捕まる,ဖမ်းမိသည်
9693,tsukamaeru,つかまえる,捕まえる,ဖမ်းဆီးသည်
9694,noru,のる,乗る,စီးသည်
9695,noseru,のせる,乗せる,တင်ဆောင်သည်
9696,oriru,おりる,降りる,ဆင်းသည်
9697,orosu,おろす,降ろす,ချသည် ၊ တာဝန်မှရပ်စဲသည်
9698,naoru,なおる,直る,ကောင်းလာသည်
9699,naosu,なおす,直す,ပြုပြင်သည်
9700,naoru,なおる,治る,ပျောက်သည်(ရောဂါ)
9701,naosu,なおす,治す,ပြုပြင်သည်၊ ဆေးကုသပေးသည်
9702,nakunaru,なくなる,亡くなる,သေဆုံးသည်
9703,nakusu,なくす,亡くす,ဆုံးရှုံးသည်(တစုံတစ်ယောက်သေဆုံး၍ ထိုသူအားဆုံးရှုံးလိုက်ရခြင်း)
9704,umareru,うまれる,生まれる,မွေးဖွားသည်
9705,umu,うむ,生む,မွေးသည်(ကလေးမွေးသည်)
9706,deau,であう,出会う,တွေ့ဆုံသည်
9707,tazuneru,たずねる,訪ねる,အလည်သွားသည်
9708,tsukiau,つきあう,付き合う,ပေါင်းသင်းဆက်ဆံသည်
9709,kiku,きく,効く,ထိရောက်မှုရှိသည်
9710,hayaru,はやる,はやる,ရေပန်းစားသည်၊လူပြောများသည်
9711,tatsu,たつ,経つ,ကြာညောင်းသည်
9712,maniau,まにあう,間に合う,အချိန်မှီသည်
9713,maniawaseru,まにあわせる,間に合わせる,အချိန်မှီစေသည်
9714,kayou,かよう,通う,သွားလာသည်
9715,komu,こむ,込む,ပြည့်ကျပ်သည်
9716,surechiausurechigau,すれちがう,すれ違う,တစ်ယောက်နှင့်တစ်ယောက်မျက်နှာချင်းဆိုင်ဘေးတိုက်ဖြတ်လျှောက်သည်၊လမ်းလွဲချော်သည်
